artist,genre,title,album,year,lyrics,Amazement,Calmness,Joyful activation,Nostalgia,Power,Sadness,Solemnity,Tenderness,Tension
Johnny Cash,Country,I’ve Been Everywhere,American II: Unchained,1996.0,"I’ve Been Everywhere. I was totin' my pack along the dusty Winnemucca road. When along came a semi with a high an' canvas covered load. ""If you're goin' to Winnemucca, Mack, with me you can ride"". And so I climbed into the cab and then I settled down inside. He asked me if I'd seen a road with so much dust and sand. And I said, ""Listen, I've traveled every road in this here land"". I've been everywhere, man. Crossed the desert's bare, man. I've breathed the mountain air, man. Of travel I've a'had my share, man. I've been everywhere. I've been to Reno, Chicago, Fargo, Minnesota. Buffalo, Toronto, Winslow, Sarasota. Wichita, Tulsa, Ottawa, Oklahoma. Tampa, Panama, Mattawa, La Paloma. Bangor, Baltimore, Salvador, Amarillo. Tocopilla, Barranquilla, and Padilla, I'm a killer. I've been to Boston, Charleston, Dayton, Louisiana. Washington, Houston, Kingston, Texarkana. Monterey, Faraday, Santa Fe, Tallapoosa. Glen Rock, Black Rock, Little Rock, Oskaloosa. Tennessee to Hennessey, Chicopee, Spirit Lake. Grand Lake, Devil's Lake, Crater Lake, for Pete's sake. I've been to Louisville, Nashville, Knoxville, Ombabika. Schefferville, Jacksonville, Waterville, Costa Rica. Pittsfield, Springfield, Bakersfield, Shreveport. Hackensack, Cadillac, Fond du Lac, Davenport. Idaho, Jellico, Argentina, Diamantina. Pasadena, Catalina, see what I mean'a. I've been to Pittsburgh, Parkersburg, Gravelbourg, Colorado. Ellensburg, Rexburg, Vicksburg, El Dorado. Larimore, Admore, Haverstraw, Chatanika. Chaska, Nebraska, Alaska, Opelaka. Baraboo, Waterloo, Kalamazoo, Kansas City. Sioux City, Cedar City, Dodge City, what a pity.",1,1,1,0,0,0,0,0,0
Pink Floyd,Rock,"Another Brick in the Wall, Pt. 2",The Wall,1979.0,"Another Brick in the Wall, Pt. 2. We don't need no education. We don't need no thought control. No dark sarcasm in the classroom. Teacher, leave them kids alone. Hey! Teacher! Leave them kids alone!. All in all, it's just another brick in the wall. All in all, you're just another brick in the wall. Teachers leave them kids alone. Leave us kids alone!. Wrong, do it again! *Children playing*. Wrong, do it again!. If you don't eat your meat, you can't have any pudding!. (Wrong, do it again!). How can you have any pudding if you don't eat your meat? You! Yes! You behind the bike sheds! Stand still, laddie!. (If you don't eat your meat, you can't have any pudding!. How can you have any pudding if you don't eat your meat?). (You! Stand still, laddie!). *Phone beeping sound*.",0,0,1,0,1,0,1,0,1
Shania Twain,Country,Up!,Up!,2003.0,"Up!. I'm goin' up (I'm goin' up). I'm goin' up. I'm goin' up, up, up, up. It's 'bout as bad as it could be. Seems everybody's buggin' me. Like nothing wants to go my way. Yeah, it just ain't been my day. Nothing's coming easily. Even my skin is acting weird. I wish that I could grow a beard. Then I could cover up my spots. Not play connect the dots. I just wanna disappear. Up, up, up. Can only go up from here. Where the clouds gonna clear. There's no way but up from here. Even something as simple as. Forgetting to fill up on gas. There ain't no explanation why. Things like that can make you cry. Just gotta learn to have a laugh. Oh. Yeah, yeah, yeah. Yeah, yeah, yeah, yeah, yeah. When everything is goin' wrong. Don't worry, it won't last for long. Yeah, it's all gonna come around. Don't go let it get you down. You gotta keep on holding on. It's about as bad as it could be (Bad as it could be). Seems everybody's bugging me (Everybody's bugging me). Oh, oh, oh, oh. And up, up, up. Up, up, up, ooh. Up, up, up, up, I'm goin' up (I'm goin' up). Ohh. Yeah, yeah, yeah yeah yeah.",0,0,0,0,1,1,1,0,1
The Mighty Diamonds,Reggae,Bodyguard,Deeper Roots Plus Dub,,"Bodyguard. Who's gonna bodyguard ya, mr. boduguard ? Who's gonna bodyguard ya, mr. bodyguard ? 'Cause I-man nuh wan' no one a mi yard. No one to claim seh dem a mi guard a mi yard. I want to know who. One of these days it a go dread (dreader than dread). Ev'ryone looking a place to hide 'em head, well dread. I wanna know who. Who's gonna bodyguard ya, mr. bodyguard, yeah. All who claim seh them a chief of staff. One a these days dem ha fi chuck off, yeah. Come a walk. I don't know who.",0,0,1,0,1,0,1,0,0
The Doors,Rock,Break On Through (To the Other Side),The Doors,1967.0,"Break On Through (To the Other Side). You know the day destroys the night. Night divides the day. Tried to run. Tried to hide. Break on through to the other side. Break on through to the other side, yeah. We chased our pleasures here. Dug our treasures there. But can't you still recall. The time we cried. Everybody loves my baby. She gets high. She gets high, yeah. I found an island in your arms. Country in your eyes. Arms that chain. Eyes that lie. Break on through oh, oh yeah. Made the scene. Week to week. Day to day. Hour to hour. The gate is strait. Deep and wide. Break on through. Yeah, yeah, yeah, yeah. Yeah.",0,0,0,1,0,1,0,1,1
Busta Rhymes,Hip-Hop,Arab Money,Back on My B.S.,2008.0,"Arab Money. Ron Browz, yes!. Oh, we back in the most amazin' way. Well, lemme introduce you to the new talk. Let's get straight to it. C'mon!. La ilaha illa Allah, ha la ili, hay yo. Hili b'Allah, hey, hili bay yo. We getting Arab money. Hala sheiki, ha lini falla. Mili ha lan shi inni mala. Now, there ain't no way that you could kill the beast dead. I got Middle East women and Middle East bread. I got oil well money in the desert playing golf. Dolce shorts, dashiki with a Louis Scarf. Chest cold, diamonds make a nigga wanna cough. In Dubai, 20 million on the villa loft. And then I step up in the club and then these other niggas mad as shit. The way I make the people wanna sing the hook in Arabic!. Seven star hotels, Maybach, movie sick. Big bitches, knock-kneed camel-toed groupie shit. Women walk around while security on camelback. Club on fire now, niggas don't know how to act. Sittin' in casinos while I'm gamblin' with Arafat. Money long, watch me purchase pieces of the Almanac. Y'all already know, I got the streets buzzin'. While I make you bow down and make Salaat like a Muslim. See, now I take trips to Baghdad dummy. While I use stacked chips and count Arab money now. I don't need to get fresh, about to grow a beard duke. So much cake even the money look weird too. Domestic bread, and I'm broad, I'm tryna eat right. Prince Al-Waleed bin Talal Al Saud. They respect the value of my worth in Mali, Malaysia. Iran and Iraq, Saudi Arabia!.",1,0,1,0,1,0,0,0,0
Kendrick Lamar,Hip-Hop,ELEMENT.,DAMN.,2017.0,"ELEMENT.. New Kung Fu Kenny. Ain't nobody prayin' for me. Y'all know, what happens on Earth stays on Earth. Here we go!. I don't give a fuck, I don't give a fuck. I don't give a, I don't give a, I don't give a fuck. I'm willin' to die for this shit. I done cried for this shit, might take a life for this shit. Put the Bible down and go eye for an eye for this shit. D-O-T my enemy, won't catch a vibe for this shit, ayy. I been stomped out in front of my mama. My daddy commissary made it to commas. Bitch, all my grandmas dead. So ain't nobody prayin' for me, I'm on your head, ayy. Thirty millions later, know the feds watchin'. Auntie on my Telegram like, ""Be cautious!"". I be hangin' out at Tam's, I be on Stockton. I don't do it for the 'Gram, I do it for Compton. I'm willin' to die for this shit, nigga. I'll take your fuckin' life for this shit, nigga. We ain't goin' back to broke, family sellin' dope. That's why you maney-ass rap niggas better know. If I gotta slap a pussy-ass nigga, I'ma make it look sexy. If I gotta go hard on a bitch, I'ma make it look sexy. I pull up, hop out, air out, made it look sexy. They won't take me out my element. Nah, take me out my element. I'm allergic to a bitch nigga, ayy. An imaginary rich nigga, ayy. Seven figures ho, that's slimmer than my bitch figure, ayy. Goin' digital and physical on all y'all, ayy. Bunch of criminals and money in my phone calls, ayy. We okay, we let the A1 fly. Relocate, jump on the same G5. Checkin' for me heavy 'cause I go yeah, I go yeah. They never been ready, yeah, I know yeah, know yeah. 100K spread across the floor, 'cross the floor, yeah. None of y'all fuckin' with the flow yeah, the flow yeah. Years in the makin', and don't y'all mistake it. I got 'em by a landslide, we talkin' about races. You know this'll never be a tie, just look at they laces. You know careers take off, just gotta be patient. Mr. One through Five, that's the only logic. Fake my death, go to Cuba, that's the only option. Damned if I do, if I don't (Yuh). Goddamn us all if you won't (Yuh). Damn, damn, damn, it's a goddamn shame. You ain't front in line, get out the goddamn way. Niggas thought they wasn't gonna see me, huh? Niggas thought that K-Dot real life. Was the same life they see on TV, huh? Niggas wanna flex on me and be in L.A. for free, huh? Next time they hit the 10 freeway, we need a receipt, huh? 'Cause most of y'all ain't real, most of y'all gon' squeal. Most of y'all just envy, but jealousy get you killed. Most of y'all throw rocks and try to hide your hand. Just say his name and I promise that you'll see Candyman. Because it's all in your eyes, most of y'all tell lies. Most of y'all don't fade, most of y'all been advised. Last LP I tried to lift the black artists. But it's a difference 'tween black artists and wack artists. It's the one and only, the world's greatest, the Kid Capri.",0,0,1,0,1,0,1,0,1
Lil Wayne,Hip-Hop,A Milli,Tha Carter III,2008.0,"A Milli. Bangladesh. Young Money!. You dig? Mack, I'm going in. A millionaire, I'm a Young Money millionaire. Tougher than Nigerian hair. My criteria compared to your career just isn't fair. I'm a venereal disease, like a menstrual bleed. Through the pencil, and leak on the sheet of the tablet in my mind. 'Cause I don't write shit, 'cause I ain't got time. 'Cause my seconds, minutes, hours go to the almighty dollar. And the almighty power of that ch-cha-cha-chopper. Sister, brother, son, daughter, father; mother-fuck a copper. Got the Maserati dancin' on the bridge, pussy poppin'. Tell the coppers: ""Ha-ha-ha-ha. You can't catch him, you can't stop him"". I go by them goon rules: if you can't beat 'em, then you pop 'em. You can't man 'em, then you mop 'em. You can't stand 'em, then you drop 'em. You pop 'em 'cause we pop 'em like Orville Redenbacher. Motherfucker, I'm ill. A million here, a million there. Sicilian bitch with long hair, with coke in her derriere. Like smoking the thinnest air. I open the Lamborghini, hopin' them crackers see me. Like, ""Look at that bastard Weezy!"". He's a beast, he's a dog, he's a mothafuckin' problem. Okay, you're a goon, but what's a goon to a goblin? Nothin', nothin', you ain't scarin' nothin'. On some faggot bullshit: call 'em Dennis Rodman. Call me what you want, bitch! Call me on my Sidekick!. Never answer when it's private, damn, I hate a shy bitch. Don't you hate a shy bitch? Yeah, I ate a shy bitch. She ain't shy no more, she changed her name to My Bitch. Yeah, nigga, that's my bitch, so when she ask. For the money when you through, don't be surprised, bitch!. And it ain't trickin' if you got it. But you like a bitch with no ass: You ain't got shit. Motherfucker, I'm ill, not sick. And I'm okay, but my watch sick, yeah, my drop sick. Yeah, my Glock sick, and my knot thick I'm it. Motherfucker, I'm ill. See, they say I'm rappin' like B.I.G., Jay, and 2Pac. Andre 3000, where is Erykah Badu at? Who that? Who that said they gon' beat Lil Wayne? My name ain't Bic, but I keep that flame, man. Who that one that do that, boy? You knew that true that, swallow. And I be the shit, now you got loose bowels. I don't owe you like two vowels. But I would like for you to pay me by the hour. And I'd rather be pushin' flowers. Than to be in the pen sharin' showers. Tony told us this world was ours. And the Bible told us every girl was sour. Don't play in her garden and don't smell her flower. Call me Mr. Carter or Mr. Lawn Mower. Boy, I got so many bitches, like I'm Mike Lowrey. Even Gwen Stefani said she couldn't doubt me. Motherfucker, I say ""Life ain't shit without me"". Chrome lips pokin' out the coupe, look like it's poutin'. I do what I do, and you do what you can do about it. Bitch, I can turn a crack rock into a mountain dare me. Don't you compare me, 'cause there ain't nobody near me. They don't see me but they hear me. They don't feel me but they fear me. I'm illy, C3, 3 Peat.",0,0,0,0,1,0,0,0,1
Martina McBride,Country,I Just Call You Mine,Shine,2009.0,I Just Call You Mine. I pinch myself. Sometimes to make sure I'm not in a dream. That's how it seems. I close my eyes and breathe in the sweetest moments I've ever known. It feels like home. And here I am. I want to be your everything. There you are. Turning winter into spring. And everyone that sees you. Always wants to know you. And everyone that knows you. Always has a smile. You're a standing ovation. After take years of waiting. For a chance to finally shine. Everyone calls you amazing. Yeah. I just call you mine. I fall apart. And just a word from you. Somehow seems to fix. Whatever's wrong. Oh. You reach into the weakest moments and remind me that I'm strong. You got to know. I'd be a fool not to see or even worse to forget. That you're more than I deserve. Nothing makes sense when you're not here. As if my whole world disappears. Without you what's the point of it.,1,0,0,0,0,0,0,1,0
Reba McEntire,Country,Tammy Wynette Kind of Pain,Stronger Than the Truth,2019.0,"Tammy Wynette Kind of Pain. This ain't a little mascara running down my cheek. And this ain't a little scratch that'll heal in a couple of weeks. This is more than a little smile I'm having to fake. 'Cause this ain't no little girl heartache. Standing by your man. That's a broken plan. When he breaks your heart and all your trust. With his two cheating hands. So it's D-I-V-O-R-C-E. And you don't want him to see you crying. So you're crying in the rain. And this is Tammy Wynette. We're talking Tammy Wynette kind of pain. There's a sky full of tears and every single note. And every single word is wine and whiskey-soaked. So I guess it's me and her, together in this all along. 'Til I can make it on my own. Well that's a broken plan. And it's D-I-V-O-R-C-E. Means this golden wedding ring. Don't mean a thing. Oh this is Tammy Wynette. This is Tammy Wynette.",0,0,0,1,0,1,0,0,1
