artist,genre,title,album,year,lyrics,Amazement,Calmness,Joyful activation,Nostalgia,Power,Sadness,Solemnity,Tenderness,Tension
Kendrick Lamar,Hip-Hop,"Sing About Me, I’m Dying of Thirst","good kid, m.A.A.d city (Deluxe Version)",2012.0,"When the lights shut off and it's my turn. To settle down, my main concern. Promise that you will sing about me. I said when the lights shut off and it's my turn. I woke up this morning and figured I'd call you. In case I'm not here tomorrow. I'm hopin' that I can borrow. A peace of mind, I'm behind on what's really important. My mind is really distorted. I find nothing but trouble in my life. I'm fortunate you believe in a dream. This orphanage we call a ghetto is quite a routine. And last night was just another distraction. Or a reaction of what we consider madness. I know exactly what happened. You ran outside when you heard my brother cry for help. Held him like a newborn baby and made him feel. Like everything was alright in a fight he tried to put up. But the type of bullet that stuck. Had went against his will, that's blood spilled on your hands. My plan's rather vindictive. Everybody's a victim in my eyes. When I ride it's a murderous rhythm. And outside became pitch black. A demon glued to my back, whispering ""Get 'em!"". I got 'em and I ain't give a fuck. That same mentality I told my brother not to duck. In actuality it's a trip how we trip off of colors. I wonder if I'll ever discover a passion like you and recover. The life that I knew as a youngin. In pajamas and dun-ta-duns. When thunder comes it rains cats and dogs dumb. Niggas like me never prosper. Prognosis of a problem child, I'm proud and well-devoted. This Piru shit been in me forever. So forever I'ma push it, wherever, whenever. And I love you 'cause you love my brother like you did. Just promise me you'll tell this story when you make it big. And if I die before your album drop, I hope. You wrote a song about my sister on your tape. And called it Section.80. The message resembled ""Brenda's Got a Baby"". What's crazy was I was hearin' about it. But doubted your ignorance. How could you ever just put her on blast and shit? Judgin' her past and shit? Well, it's completely my future. Her nigga behind me right now askin' for ass and shit. And I'ma need that forty dollars. Even if I got to fuck, suck and swallow. In the parking lot, Gonzales Park, I'm followed. By a married man, and father of three. My titties bounce on the cadence of his tinklin' keys. Matter of fact, he my favorite 'cause he tip me with E's. He got a cousin named David and I seen him last week. This is the life of another girl damaged by the system. These foster homes, I run away and never do miss 'em. See, my hormones just run away and if I can get 'em. Back to where they used to be, then I'll probably be in the denim. Of a family gene that show women how to be woman. Or better yet, a leader, you need her to learn somethin'. Then you probably need to beat her, that's how I was taught. Three niggas in one room, first time I was tossed. And I'm exhausted, but fuck that ""Sorry for your loss"" shit. My sister died in vain, but what point are you tryna gain. If you can't fit the pumps I walk in? I'll wait Your rebuttal a little too late. And if you have a album date, just make sure I'm not in the song. 'Cause I don't need the attention, bring enough of that on my own. And matter fact, did I mention that I physically feel great? A doctor's approval is a waste of time, I know I'm straight. I'll probably live longer than you and never fade away. I'll never fade away, I'll never fade away, I know my fate. And I'm on the grind for this cake, I'ma get it or die tryin'. I'm eyein' every male gender with intentions of buyin'. You lyin' to these motherfuckers. Talkin' about you can help 'em with my story. You can help me if you sell this pussy for me, nigga. Don't ignore me, nigga, fuck your glory, nigga, you ain't shit. Sometimes I look in the mirror. And ask myself: Am I really scared of passin' away? If it's today, I hope I hear a. Cry out from Heaven so loud it can water down a demon. With the Holy Ghost 'til it drown in the blood of Jesus. I wrote some raps that made sure that my lifeline reekin'. The scent of a reaper, ensurin' that my allegiance. With the other side may come soon, and if I'm doomed. May the womb of my mother be blessed for many moons. I suffer a lot. And every day that glass mirror get tougher to watch. I tie my stomach in knots. And I'm not sure why I'm infatuated with death. My imagination is surely an aggravation of threats. That can come about, 'cause the tongue is mighty powerful. And I can name a list of your favorites that probably vouch. Maybe 'cause I'm a dreamer and sleep is the cousin of death. Really stuck in the schema of wonderin' when I'ma rest. And you're right, your brother was a brother to me. And your sister's situation was the one that pulled me. In a direction to speak on somethin'. That's realer than the TV screen. By any means, wasn't tryin' to offend or come between. Her personal life, I was like ""It need to be told"". Cursin' the life of twenty generations after her soul. Exactly what'd happen if I ain't continue rappin'. Or steady bein' distracted by money, drugs and 4-5's. I count lives, all on these songs. Look at the weak and cry, pray one day you'll be strong. Fightin' for your rights, even when you're wrong. And hope that at least one of you sing about me when I'm gone. Am I worth it? Did I put enough work in? Promise that you'll sing about me forever. Promise that you'll sing about me for ooooh. (On the phone). ""Ay, ay, ay, Where you 'bout to go?"". ""Nigga, the homie's brother-- nigga, right here, he gone, my nigga, he gone!"". ""Nigga-- they just killed the homie's brother, my nigga. We right here on the block, my nigga."". ""Al- alright, nigga-- nigga just come-- alright, alright, just call me back, man, just call me back."". ""Arghh... Fuck!. So what we gon' do, my niggas? What we gon' do?"". ""Bro, we can go back right now, my nigga. Like... nigga, I don't give a fuck, my nigga. We can go back right now"". ""Fuck! I'm tired of this shit! I'm tired of fuckin' runnin', I'm tired of this shit! My brother, homie!"". Tired of runnin', tired of huntin'. My own kind, but retirin' nothin'. Tires are steady screechin', the driver is rubbin'. Hands on the wheel, who said we wasn't. Dyin' of thirst, dyin' of thirst, dyin' of thirst? Dope on the corner, look at the coroner. Daughter is dead, mother is mournin' her. Stray bullets, AK bullets. Resuscitation was waitin' patiently, but they couldn't. Bring her back, who got the footage? Channel 9, cameras is lookin'. It's hard to channel your energy when you know he crooked. Banana clip, split his banana pudding. I'm like Tre, that's Cuba Gooding. I know I'm good at. Dyin' of thirst, dyin' of thirst, dyin' of thirst. How many sins? I'm runnin' out. I lost count. Dreams of ballin' like Spalding. But only shotty bounce. The reaper callin', I'm cottonmouth. Money is power (Money is power). Yours is ours (Yours is ours). Lay with a snitch, die with a coward. Hope we get rich, hope we can tower. Over the city with vanity with the music louder. The same song, a black flower. I'll show you how to. Dye your thirst, dye your thirst, dye your thirst. What are we doin'? Who are we foolin'? Hell is hot, fire is proven. To burn for eternity, return of the student. That never learned how to live righteous but how to shoot it. Tired of runnin', choirs is hummin'. Tell us to visit, we lie about comin'. Now back to business, loadin' the guns in. Back of the Buick, your hood is feudin'. The beef is bubblin', it's no discussion. Hereditary, all of my cousins. Too many sins, I'm runnin' out. Somebody send me a well for the drought. See all I know is takin' notes. On takin' this life for granted, granted, if he provoke. My best days, I stress days. (Lord, forgive me for all my sins, for I not know). Say ""fuck the world,"" my sex slave. Money, pussy, and greed what's my next crave? Whatever it is, know it's my next grave. Tired of runnin', tired of runnin', tired of tumblin'. Tired of runnin', tired of tumblin' backwards. My momma say ""See, a pastor give me a promise. What if today was the rapture and you completely tarnished? The truth will set you free, so to me be completely honest. You dyin' of thirst, you dyin' of thirst. So hop in that water, and pray that it works."". Fuck! I'm tired of this shit!. I'm tired of fuckin' runnin', I'm tired of this shit!. That's my brother, homie!. Young man, come talk to me! Is that what I think that is? I know that's not what I think that is. Why are you so angry? See, you young men are dying of thirst. Do you know what that means? That means you need water, holy water. You need to be baptized, with the spirit of the Lord. Do you want to receive God as your personal savior? Okay, repeat after me:. ""Lord God, I come to You a sinner."". (Lord God, I come to You a sinner). ""And I humbly repent for my sins."". (And I humbly repent for my sins). ""I believe that Jesus is Lord."". (I believe that Jesus is Lord). ""I believe you raised Him from the dead."". (I believe you raised Him from the dead). ""I would ask that Jesus come into my life."". (I would ask that Jesus come in my life). ""And be my Lord and Savior."". (And be my Lord and Savior). ""I receive Jesus to take control of my life."". (I receive Jesus to take control of my life). ""And that I may live for Him from this day forward."". (And that I may live for Him from this day forward). ""Thank you, Lord Jesus. For saving me with Your precious blood."". (Thank you, Lord Jesus. For saving me with Your precious blood). ""In Jesus name, amen."". (In Jesus name, amen). Alright now, remember this day. The start of a new life your REAL life.",0,0,0,0,0,1,0,1,0
Wu-Tang Clan,Hip-Hop,Reunited,Wu-Tang Forever,1997.0,"It's Wu motherfuckers, Wu-Tang motherfuckers. It's Wu motherfuckers, a Wu-Tang motherfuckers. It's Wu. Reunited, double LP, world excited. Struck a match to the underground, industry ignited. From metaphorical parables to fertilize the Earth. Wicked niggas come, try to burglarize the turf. Scatting off soft-ass beats them niggas rap happily. Tragically, that style deteriorate rapidly. Uncompleted missions, throwing your best known compositions. You couldn't add it up if you mastered addition. Where I come from, getting visuals is habitual. You're more safe walking on hot coals in rituals. I splash the paint on the wall, formed a mural. He took a look, saw the manifestation of it was plural. Rhyming while impaired, dart hit your garment. Pierced your internal streamlined compartments. Just consider the unparalleled advantage. Of a natural disaster that's impossible to manage. Bitchass niggas counterfeit the funk. I smoke the bead of the skunk, tree top of the trunk. Moonshine drunken monk, your head get shrunk. Your treasure sunk, I be fucking bitches by the chunk. My name black, you worms wanna play in my dirt. Bitch stop, my Momma serve free lunch from the church. I cum like a thousand doves. Bitch you quiet at the bus, making no fuss, I got self love. Unglove the noose, watch a nigga transfuse. Dirty add to the fuse, heavy at the booze. I don't walk, I get carried. Gold and platinum Frisbees on my wall, looking properly. But comely, I U.F.O. you Wright Brothers. The Indian that sold Manhattan to the white man. My grandfather, step up and get knocked right the fuck out. Come to the cook-out, dirty bitch at the mouth. You scared, run around like the plane about to crash. Wu-Tang motherfuckers. Yeah and RZA. Yo, yo The Riddler, funny bone tickler, freak Caligula. Bigger dick sex enigma, pistil fertilize your stigma. Stinkbox order from Pink Dot. MCs get stuck on ink blots, AirSound plug to the sinkbox. Wu-Tang Incorp. take your brain on spacewarp. Talk strange like Bjork, great hero Jim Thorpe. How can I put it, life is like video footage. Hard to edit, directors, that never understood it. Too impulsive, my deadly corrosive dosage. Attack when you least notice through explosive postage. I don't play, the rap souffle saute for the day. Ruler Zig-Zag-Zig A Leg Leg Arm Head. Spread like plague, we drink Hennessy by the keg. I got the golden egg plus the goose. Eighty proof Absolut mixed with cranberry fruit juice. Ginseng root, I got your neck in a noose. Keep my money wrinkled, the rap star twinkle killer instinct. Sixteen bar nickel sell more copies than Kinko. Grow like a fetus with no hands and feet to complete us. And we return like Jesus when the whole world need us. Is it appetite for destruction? Slap a murder rap on this production. I touch something, trust nothing. Iron Lung/Twisted Metal. I see 'em ducking my dart gun, busting from every angle. Worldwide total carnage, the sickest flow. That be codenamed Agent Orange, killing you slow. It's only right you pay homage. To those that's 'bout to blow like that shit up your nose. Solid as a rock when I strike target. Verbal be screaming on you like a drill sergeant. Herbals got me where I wanna be right now. Don't know the time. Check the hour on your sundial, watch me shine. Drunk off of cheap wine. Each line be on point when I speak mine. On behalf of my crew, SUUUUUUUUUUU, Enter the Wu. 36 more deadly Chambers to take you through. It's Wu motherfuckers. Oh yeahhhh, ahhh, aiyy yeahh yeahhhahh aiii. And RZA.",0,0,1,0,1,0,1,0,0
Yellowman,Reggae,Wreck a pum pum,Nobody Move Nobody Get Hurt,,"Intro: Now hear me crowd a people. Now I dedicate this one to all of de possie dem seen, lord hear me. Country posse I wan hear you Mo-Bay posse I wan hear you. Kingston possie I wan hear you. Now the girls them a walk and the girls them a talk. A Talk about Yellowman a broke them heart. Me take up the mic and a started to talk. A lickle after that man the dancehall cork. ? ?? a laugh and the food it nyam off. A lickle after that promoter just a laugh. Me are de ram jam master, me are the bad superdupper. Yellowman he are de teacher, eh. One thing Yellowman can't understand. Every music me do it go number one. Me bruk up me girl weh they call Sharon. Me rub upon her hand and then she give me romance. Let me wreck a pum pum pon a big fat ting (x2). (or: Let me rub up up up on a big fat ting). Me on my way to Saint Elizabeth. Me bruk up this girl weh they call Bridget. She say Yellowman I love you to death. Well free, food, clothes what a you haffi fe get. She kiss me pon me chin she rub down me chest. Me love how she kiss and how she caress. When it come to loving Yellowman him are de best. Me on my way go down to Negril. Me bruk a whitey? with a twenty dollar bill. She say Yellowman you fe have some skill. Ride a one wheel bicycle to Mandeville. Me better than Jack me better than Jill. Say ride upon me belly like you ride pon hill. Me on my way to Golden Spring. Me bruk up the girl weh named Sissy Lynn. Say when it come to loving Yellow you are the King. Say lie down pon me like a lizard pon limb. Me on my way to San Diego. Me bruk up this girl and she love me so. She bend her back she touch her toe. Then me dance with her say please don't go. She say Yellowman I love you so. You doing it sweet like Mr. Sparrow. You rolling your belly like a damn Go Go. Me on my way to Clarendon. Me didn't drive me car so me take a minivan. Me bruk up de girl weh they call named Sharon. She said Yellowman you is a very rich man. I heard that you money inna de bank. A inna every parish me have 50 woman.",0,1,1,1,0,0,0,1,0
Radiohead,Rock,High and Dry,The Bends,1995.0,"Two jumps in a week, I bet you. Think that's pretty clever, don't you, boy. Flying on your motorcycle. Watching all the ground beneath you drop. You'd kill yourself for recognition. Kill yourself to never, ever stop. You broke another mirror. You're turning into something you are not. Don't leave me high. Don't leave me dry. Drying up in conversation. You will be the one who cannot talk. All your insides fall to pieces. You just sit there wishing you could still make love. They're the ones who'll hate you. When you think you've got the world all sussed out. They're the ones who'll spit at you. You will be the one screaming out. Oh, it's the best thing that you've ever had. The best thing that you've ever, ever had. It's the best thing that you've ever had. The best thing you've had has gone away. So don't leave me high.",0,0,0,1,0,1,0,1,1
Garth Brooks,Country,That Summer,The Chase,1993.0,"I went to work for her that summer. A teenage kid so far from home. She was a lonely widow woman. Hell-bent to make it on her own. We were a thousand miles from nowhere. Wheat fields as far as I could see. Both needing somethin' from each other. Not knowin' yet what that might be. 'Til she came to me one evenin'. Hot cup of coffee and a smile. In a dress that I was certain. She hadn't worn in quite a while. There was a difference in her laughter. There was a softness in her eyes. And on the air there was a hunger. Even a boy could recognize. She had a need to feel the thunder. To chase the lightnin' from the sky. To watch a storm with all its wonder. Ragin' in her lover's eyes. She had to ride the heat of passion. Like a comet burnin' bright. Rushin' headlong in the wind, out where only dreams have been. Burnin' both ends of the night. That summer wind was all around me. Nothin' between us but the night. And when I told her that I'd never. She softly whispered that's alright. And then I watched her hands of leather. Turn to velvet in a touch. There's never been another summer. When I have ever learned so much. We had a need to feel the thunder. Ragin' in each others eyes. We had to ride the heat of passion. I often think about that summer. The sweat, the moonlight and the lace. And I have rarely held another. When I haven't seen her face. And every time I pass a wheat field. And watch it dancin' with the wind. Although I know it isn't real, I just can't help but feel. Her hungry arms again.",0,0,0,1,0,0,0,1,0
Peter Tosh,Reggae,Pick Myself Up,Bush Doctor,,"Sittin' in the morning sun. And watching all the birds passing by. Oh how sweet they sing. And oh how much I wish that I could fly. And I try. I said I try. I try. I really try try try. But I got to. Pick myself up. Dust myself off. Start all over, again (Chorus 2x). Sittin' in the midday sun. And wondering where my meal's coming from. After working so hard. Not even piece of bread at the yard. And I said I try. Oh Lord I try. Sittin' in the evening sun. And watching the same birds passing by. Sittin' and wondering. And waiting for the time for me to fly. Good Lord I try. So long and I just find. It was just a waste of time. I been been wasting all my time. I've got to pick myself up.",0,1,0,0,1,1,1,0,0
The Smiths,Rock,Cemetry Gates,The Queen Is Dead,1986.0,"A dreaded sunny day. So I meet you at the cemetry gates. Keats and Yeats are on your side. While Wilde is on mine. So we go inside and we gravely read the stones. All those people, all those lives. Where are they now? With loves and hates. And passions just like mine. They were born. And then they lived. And then they died. Seems so unfair. I want to cry. You say: ""'Ere thrice the sun done salutation to the dawn"". And you claim these words as your own. But I've read well and I've heard them said. A hundred times. (maybe less, maybe more). If you must write prose and poems. The words you use should be your own. Don't plagiarise or take ""on loan"". 'Cause there's always someone, somewhere. With a big nose, who knows. And who trips you up and laughs. When you fall. Who'll trip you up and laugh. You say: ""'Ere long done do does did"". Words which could only be your own. And then produce the text. From whence was ripped. (Some dizzy whore, 1804). So let's go where we're happy. And I meet you at the cemetry gates. Oh, Keats and Yeats are on your side. So let's go where we're wanted. But you lose. 'Cause weird lover Wilde is on mine. Sugar!.",0,0,0,0,1,1,1,0,1
Inner Circle,Reggae,Rivers Of Babylon,Jamaika Me Crazy,,"Dj. That is then and dis is now. Sing a song of praise and shout it out load. To reach Zion you have to be strong like a lion. Unity and strength divided we fall. Stand up for your right and pure in your want. Keep it in your mind and lock it in your thoughts. By the river of Babylon. Where we sat down. Yeah, where we wept when remembered Zion. For the wicked carried us away captivity. Required from us a song. Now, how can we sing king alpha song in strange land. Sing it loud, sing a song of freedom. Sing along brothers, sing along sisters. Oh, let the words of our mouths. And the meditation of our hearts. Be acceptable in thy sight oh for I. Required from us a song in a strange land. Oh, Oh let the words. Let the words of my mouth. Be acceptable in thy sight.",0,1,0,0,1,1,1,0,1
Shaggy,Reggae,Big Up,Pure Pleasure,1993.0,"Now this one dedicates to all the women that I please just big up for themself. Them the man them know say that the flush a bomb extra buff and rough. Shagsman and Rayvon is one new brand 'bout to become number one. Watch this. And you fi. Big up, big up. All of the women them big up, big up. All of the girl them big up, big up. Whooey. See me go. Watch it go cop. Teaching it please stand up, please. Viva Apache full of pure make-up. When she walk pon street a whole heap of man big them up. Gal you're fat and you're buff. Gal you're fat and you're buff, expensive and rough. A put your hand inna the air and just big up. Gal if you're fat and you're buff, I know your comfort. Put your hand inna the air and just big up. Gal if you're fat and you're buff, another virgin bluff. Well put your hand inna the air and just big up. Gal if you're fat and you're buff and you're buffer or dapper. Say wa. Jump and skin out 'cause you know I say a sexy. Shout it out 'cause a you have the vinery. Bawl it out you big thing and healthy. We brought you up a man we called so leave I man me. Your hair style man it look well fancy. Tell the all of them say you have your man a ready. Your face a look like fi vow a night monkey. Hid no pain, top just like Apache. Come, come take it from the one named Shaggy. Tell the world you big thing and healthy. Fat and you're buff, expensive and rough. Well I don't want no man tell me woman no nice, ey. And I don't want no man tell me woman no sweet, eey. Don't want no man tell me woman no nice, woman no nice. Don't want no man tell me woman no sweet, ey. Well you fi. Big up, big up, now your poom-poom shorts. Big up, big up, now your body lick shirt. Big up, big up, now your catwoman-suit. Big up, big up, mini-skirt look cute. So me say Brooklyn man helped me big them up. And a Manville man helped me big them up. And a New York man helped me big them up. And Flatbush man say helped me big them up. And a big up yourself because you're fat and you're buff, gal (Big up). Tell them say that you're fat and you're buff, gal (Big up). Tell them you are the god of buff, gal (Big up). Tell them you're expensive and rough, gal (Big up). Tell them say that a you confess, gal (Big up). Tell them say you're the virgin bluff. Put your hand inna the air and just sight, aha. Big up, big up, big up. Because you're fat and you're buff. Shagsman girl man she fat and she buff. Rayvon gal man she fat and she buff. Beauty is in the eye of the beholder, ey. And me don't want no man say I fi work Angela. Oooh, oooh. And me don't know King Kong, what if she know him, ya. Oooh. Big up, big up, whooey.",1,0,1,0,0,0,0,1,0
Led Zeppelin,Rock,Immigrant Song,Led Zeppelin III,1970.0,"(2, 3, 4). Ahh! Ahh!. We come from the land of the ice and snow. From the midnight sun where the hot springs flow. The hammer of the gods. Will drive our ships to new lands. To fight the horde. Sing and cry. Valhalla, I am coming. On we sweep with threshing oar. Our only goal will be the western shore. How soft your fields so green. Can whisper tales of gore. Of how we calmed the tides of war. We are your overlords. So now you'd better stop. And rebuild all your ruins. For peace and trust can win the day. Despite of all your losing.",0,0,0,0,1,0,1,0,0
