title,lyrics,artist,genre,album,year,binary_sentiment
Homely Girl,"Homely Girl. It must have broke your poor little heart. When the boys used to say. You looked better in the dark. But now they'd give all they learnt in school. To be somewhere in the dark with you. The teacher would ask the questions. And you, would always raise your hand. But somehow you never got your turn. And my eyes would fill with water, inside I'd burn. Homely girl, you used to be so lonely. You're a beautiful woman oh homely girl. Homely girl you used to be so lonely. There was a boy who used to sit beside you. Who'd like to hold that place his whole life through. Oooh you were beautiful to me. You had a heart no one could ever see, oh yes you did. I was the only one who offered. To carry your books. Took all the stares and laughter. And the dirty looks. Cause I saw then what they see now. They all want to ask you for a date. They don't know how, they don't know how. Homely girl. You used to be so lonely.",UB40,Reggae,Labour of Love II,,positive
Special K,"Special K. Coming up beyond belief. On this coronary thief. More than just the light motif. More chaotic, no release. I'll describe the way I feel. Weeping wounds that never heal. Can the savior be for real. Or are you just my seventh seal? No hesitation, no delay. You come on just like Special K. Just like I swallowed half my stash. And never ever wanna crash. You come on just like Special K. Now you're back with dope demand. I'm on sinking sand. Gravity, no escaping. Gravity. Not for free. I fall down, hit the ground. Make a heavy sound. Every time you seem to come around. You're my new Achilles' heel. No escaping gravity.",Placebo,Rock,Black Market Music,2000.0,negative
That’s Entertainment,"That’s Entertainment. A police car and a screaming siren. Pneumatic drill and ripped-up concrete. A baby wailing, a stray dog howling. The screech of brakes and lamplight blinking. That's entertainment. A smash of glass and the rumble of boots. An electric train and a ripped-up phone booth. Paint-splattered walls and the cry of a tomcat. Lights going out and a kick in the balls. I say that's entertainment. La la la la la, ah. Days of speed and slow-time Mondays. Pissing down with rain on a boring Wednesday. Watching the news and not eating your tea. A freezing cold flat with damp on the walls. La la la la la. Waking up at 6 A.M. on a cool warm morning. Opening the windows and breathing in petrol. An amateur band rehearsing in a nearby yard. Watching the telly and thinking 'bout your holidays. Waking up from bad dreams and smoking cigarettes. Cuddling a warm girl and smelling stale perfume. A hot summer's day and sticky black tarmac. Feeding ducks in the park and wishing you were far away. Two lovers kissing masks a scream of midnight. Two lovers missing the tranquility of solitude. Getting a cab and travelling on buses. Reading the grafitti about slashed-seat affairs.",The Jam,Rock,Sound Affects,1980.0,positive
Because of You,"Because of You. I will not make the same mistakes that you did. I will not let myself cause my heart so much misery. I will not break the way you did, you fell so hard. I've learned the hard way to never let it get that far. Because of you. I never stray too far from the sidewalk. I learned to play on the safe side so I don't get hurt. I find it hard to trust not only me, but everyone around me. Because of you, I am afraid. I lose my way. And it's not too long before you point it out. I cannot cry because I know that's weakness in your eyes. I'm forced to fake a smile, a laugh everyday of my life. My heart can't possibly break. When it wasn't even whole to start with. I watched you die, I heard you cry every night in your sleep. (I watched you die in your sleep). I was so young. You should have known better than to lean on me. (I was too young for you to lean on me). You never thought of anyone else, you just saw your pain. (You never saw me). And now I cry in the middle of the night. For the same damn thing.",Reba McEntire,Country,Reba: Duets,2007.0,negative
If I Had Only Known,If I Had Only Known. If I had only known. It was the last walk in the rain. I'd keep you out for hours in the storm. I would hold your hand. Like a life line to my heart. Underneath the thunder we'd be warm. It was our last walk in the rain. I'd never hear your voice again. I'd memorize each thing you ever said. And on those lonely nights. I could think of them once more. Keep your words alive inside my head. You were the treasure in my hand. You were the one who always stood beside me. So unaware I foolishly believed. That you would always be there. But then there came a day. And I turned my head and you slipped away. It was my last night by your side. I'd pray a miracle would stop the dawn. And when you'd smile at me. I would look into your eyes. And make sure you know my love. For you goes on and on. The love I would've shown.,Reba McEntire,Country,For My Broken Heart,1991.0,negative
Still D.R.E.,"Still D.R.E.. Yeah, nigga, we're still fuckin' with you. Still waters run deep. Still Snoop Dogg and D.R.E.. '99, nigga, guess who's back. Still, still doin' that shit, Andre? Oh for sho'. Yeah. Check me out. It's still Dre Day nigga, AK nigga. Though I've grown a lot, can't keep it home a lot. 'Cause when I frequent the spots that I'm known to rock. You hear the bass from the truck when I'm on the block. Ladies they pay homage, but haters say Dre fell off. How? Nigga, my last album was The Chronic. They wanna know if he still got it. They say rap's changed, they wanna know how I feel about it. (If you ain't up on thangs). Dr. Dre is the name, I'm ahead of my game. Still puffin' my leaves, still fuck with the beats. Still not lovin' police (Uh-uh). Still rock my khakis with a cuff and a crease (For sho'). Still got love for the streets, reppin' 213 (For life). Still the beats bang, still doin' my thang. Since I left ain't too much changed, still. I'm representin' for them gangstas all across the world. (Still) Hittin' them corners in them low-lows, girl. Still takin' my time to perfect the beat. And I still got love for the streets, it's the D.R.E.. Since the last time you heard from me I lost some friends. Well, hell, me and Snoop, we dippin' again. Kept my ear to the streets, signed Eminem. He's triple platinum, doin' 50 a week. Still, I stay close to the heat. And even when I was close to defeat, I rose to my feet. My life's like a soundtrack I wrote to the beat. Treat rap like Cali weed: I smoke 'til I sleep. Wake up in the A.M., compose a beat. I bring the fire 'til you're soakin' in your seat. It's not a fluke, it's been tried, I'm the truth. Since ""Turn Off the Lights"" from the World Class Wreckin Cru. I'm still at it, after mathematics. In the home of drive-by's and ak-matics. Swap meets, sticky green, and bad traffic. I dip through, then I get skin, D.R.E.. It ain't nothin' but more hot shit. Another classic CD for y'all to vibe with. Whether you're coolin' on the corner with your fly bitch. Laid back in the shack, play this track. I'm representin' for the gangstas all across the world. Still (Hittin' them corners in them low-lows, girl). I'll break your neck, damn near put your face in your lap. Niggas try to be the king, but the ace is back. (So if you ain't up on thangs). Dr. Dre be the name, still runnin' the game. Still got it wrapped like a mummy. Still ain't trippin', love to see young blacks get money. Spend time out the hood, take they moms out the hood. Hit my boys off with jobs, no more livin' hard. Barbeques every day, drivin' fancy cars. Still gon' get mine regardless (Still). Right back up in your mothafuckin' ass. 9-5 plus four pennies! Add that shit up. D.R.E. right back up on top of thangs. Smoke some with your Dogg. No stress, no seeds, no stems, no sticks!. Some of that real sticky icky icky. Ooh wee! Put it in the air!. Boy, you's a fool, D-R.",Dr. Dre,Hip-Hop,2001,1999.0,negative
Something You Get Through,"Something You Get Through. When you lose the one you love. You think your world has ended. You think your world will be a waste of life. Without them in it. You feel there's no way to go on. Life is just a sad, sad song. But love is bigger than us all. The end is not the end at all. It's not somethin' you get over. But it's somethin' you get through. It's not ours to be taken. It's just a thing we get to do. Life goes on and on. And when it's gone. It lives in someone new.",Willie Nelson,Country,Last Man Standing,2018.0,negative
Stay,"Stay. It's true that all that you know is all that you are. You said that it's all that you want and more. Fuck off and pour another drink. And tell me what you think. You know that I'm too drunk to talk right now. You put your cigarette out on my face. So beautiful, please, woman. Don't break your back for me. I'll put you out of your misery. Tell me that it's all okay (Tell me that it's all okay). I've been waitin' on this all damn day (Waitin' on this all damn day). Call me in the mornin', tell me how last night went. I'm here, but don't count on me to. Stay a little longer if you convince me. And tell me all the things that you have against me. Every time we make up, the truth is fadin'. Everybody's blind when the view's amazin'. Damn, who are we right now? Can we have a little conversation? Figure it out with no intoxication. We carry on, what is our motivation? We're never wrong, how the hell we gonna make it? Maybe we're used to this. Tell me, what are we to do? It's like we only play to lose. Chasin' pain with an excuse. I love that shit and so do you. But don't break your back for me. I'm here, but don't count on me to stay.",Post Malone,Hip-Hop,beerbongs & bentleys,2018.0,negative
Over You,"Over You. Weather man said, it's gonna snow. By now I should, be used to the cold. Mid-February shouldn't be so scary. It was only December. I still remember the presents, the tree, you and me. But you went away. How dare you? I miss you. They say I'll be OK. But I'm not going to ever get over you. Living alone, here in this place. I think of you, and I'm not afraid. Your favorite records make me feel better. Cause you sing along. With every song. I know you didn't mean to give them to me. It really sinks in, you know, when I see it in stone. Cause you went away.",Miranda Lambert,Country,Four the Record,2012.0,negative
Tears From My Eyes,"Tears From My Eyes. Tears from my eyes keep on falling. Cause you are leaving, leaving with another. Things that we've done together. I'll always remember though you're with another, baby. I've done everything one man can do, girl. Said every word one man can say. The thing that we had has gone astray, girl. I'm missing you from day to day.",UB40,Reggae,Labour of Love II,,negative
