title,lyrics,artist,genre,album,year,binary_sentiment
Twerk It,"Twerk It. Big man, when mi talk, 'ere weh yuh fi do. Shut your mout, listen close, weh we come fi do. Shut it dung, lick a shot, blow torch a bun. Nuff excitement, see them frightened, watch them bwoy a run. Come here gal, weh yuh a do, hmmm, whata gwaan. Dun wid dat, dutty wine, Tony Matterhorn. Bass a lick yuh, make it clap, go on go take it off. Set the trap, don't fight it you know your skin soft. Sit down pon it, go on go fuck it 'til yuh broke it out. So exotic, while you suck it watch we fuck it up. So weh have it, batty big watch how mi love it up. Bend ova and spread and mek mi stick it in and bun it up. Twerk it, twerk it, twerk it, twerk it. Twer-twer-twer-twer-twer-twer. (Twerk it, twerk it, twerk it). I seh mi finish wid yuh. Pull up yuh pants, gwaan go get yuh friend. Dance dun, come outside, fuck inna di benz. Gyal come, enjoy di ride, watch di wey mi stick yuh. Welcome (yuh dun know). Tek di dick yuh friend a wait fi yuh. Hold on deh, yuh man vex, vegetate di bwoy. Shoot what? See, my gun will evaporate dat bwoy. Leggo dat, see how it sound QUANG. Level dat, down to di ground, PANG. Nuff a dat, yuh dun know, best a di best. Pretty gyal, whole heap a batty and whole heap a breast. Physical, how yuh a drop it no one could a test. Digital, we Instagram it 'til dem gyal a rest. And mi seh walk like a champion. Swing like a stallion. Wid di two big medallion, good yuh perfect. Show dem di action, bad gyal concoction. Cool now, relax mon, eh em, yuh nervous. Skin out and dun di place. Spin 'round and show yuh face. Open, and close yuh case, arch up, and work it. Mi seh hold on deh tek time, gyal wine yuh waistline. Follow di bassline, right now, stir it. Round like a bowl of soup, round like a hula hoop. Round like yuh batty cute and do it, on purpose. Wine like a yard woman. Grind like yuh numba one. Jump up, and wave yuh hand real thing, she know.",Busta Rhymes,Hip-Hop,E.L.E. (Extinction Level Event) 2: End of the World ,2013.0,positive
Heart of Gold,Heart of Gold. I want to live. I want to give. I've been a miner. For a heart of gold. It's these expressions. I never give. That keeps me searching. And I'm getting old. Keeps me searching. I've been to Hollywood. I've been to Redwood. I crossed the ocean. I've been in my mind. It's such a fine line. Keep me searching. You keep me searching.,Johnny Cash,Country,Unearthed 2: Trouble in Mind,2003.0,negative
God’s Gonna Cut You Down,"God’s Gonna Cut You Down. You can run on for a long time. Run on for a long time. Sooner or later, God'll cut you down. Go tell that long tongue liar. Go and tell that midnight rider. Tell the rambler, the gambler, the back biter. Tell them that God's gonna cut 'em down. Well my goodness gracious, let me tell you the news. My head's been wet with the midnight dew. I've been down on bended knee, talkin' to the man from Galilee. He spoke to me in the voice so sweet. I thought I heard the shuffle of the angel's feet. He called my name and my heart stood still. When he said, ""John, go do My will!"". Well, you may throw your rock and hide your hand. Workin' in the dark against your fellow man. But as sure as God made black and white. What's done in the dark will be brought to the light.",Johnny Cash,Country,American V: A Hundred Highways,2006.0,negative
It Was Written,"It Was Written. And it was written. Up in the book of life. That a man shall. Endure forever more. Well did you know the pen. Is stronger than the knife. And they can kill you once. But they can't kill you twice. Did you know destruction of the flesh. Is not the ending to life. Fear not of the anti-christ. Did you know that I. Exist before the earth. And did you know my eyes. Are windows to the world. Did you know you can't go to Zion and wear jerry curls. Can't tell the boys from the girls. Your body's just a vehicle. Transporting yo' soul. It's what's inside ah people. Is beauty to behold. Fear not of evil. Everyday dem flesh it grow old. Changes of the times take the toll. The one ya name, fear is in the eyes of the beholder. And love is in the presence of the love maker. Life is in the words of the comforter. Endure much longer, live much longer. Fear is in the eyes of the beholder. A vest around his chest and Rastafari is his name. The gift of everlasting life for us to all sustain. Blessing that you all begot. Lessons that you all forgot. Rasta call it shit you not. Do you remember Elijah. And his chariot of flames. Same blood that runs thru my veins. Fear is in the eyes of di beholder. Careful how you entertain stranger. Selassie never born inna nuh manger. And I'm never crucify as nuh savior. Elect off himself inna the ruler. Babylon ah nah malfunction well dem a failure. So be careful of dem cellular and pager. Cause I sign see dem I see danger. So dem great but Selaisse I greater. Me think me wanna lick upon shots. Upon a bloodclot. And fill the block with bumbaraas cops. Cops mi dun talk you know you watch me walks in. While black woman is getting raped across New Yorks And. Before another brother's in chalks And. I imagine somebody said that's your son dead, see him? See us we do the crime we do the time. Y'all get away scott-free. So police mi gonna pop you before you pop me. Cause if you get me you got me you shot me. Know'll lot me carry shotty since moms slap me. Cause my room sloppy. The youngest nigga out the camp is me. But nobody pampered me. So you better don't ramp with me. Fi see me, me don't play plenty. Chicks me blazed many. Raised plenty fi dollars. Storm upon mi prada. Watch a bomb holla. Watch 'im run, hit the floor. Told I'm come, come no. Throw ya ganja pon de air. 'plah!'. So watch for sticks and stones, stumbling blocks in piles. Life is one big road, miles on top of miles. So blessed be the soul that always remains a child. When most people don't even smile. There's a natural mystic, blowing tru the air. So keep it realistic, and always be aware. The truth is crying out, and it's so loud and so clear. But most people won't even hear. Spiritual pollution in the atmosphere. And with so much confusion, can one be happy here. The gift of Rastafari is for all man to share. But some would rather to be so unfair.",Damian Marley,Reggae,Halfway Tree,2012.0,negative
Go Seek Your Rights,"Go Seek Your Rights. There comes a time in the life of every man. When you've got to face reality. Don't you hurt your brother man too much, cos. No man is an island, no man stands alone. Go seek your rights. I don't say you must fight. But if it ever ever comes to the test. You must surely, surely, try try your best, cos. No man is an island, no man stands alone. Look at the branches they are losing their color. Watch them as they grow, Lord, each and every hour. Then if man should fight against man. You must prepare to give a helping hand, Lord. No man is an island, no man stands alone. Go seek your rights, I don't say you must fight. But if it ever ever ever comes to the test. You must surely, surely, surely, try and try your best. Cos. No man is an island, no man stands alone.",The Mighty Diamonds,Reggae,When the Right Time Come (I Need a Roof),,positive
Waves,"Waves. Turn me up!. Step up in this bitch like (Turn me up!). I'm the one your bitch like. Yeah I'm the one your bitch like (Turn me up!). And I be talkin' shit like. I ain't scared to lose a fistfight (Turn me up!). And she grabbin' on my, like. She wanna see if it'll fit right (Turn me up!). That's just the wave. (Yeah) Waves don't die. Let me crash here for the moment, yeah. I don't need to own it. No lie. Waves don't die, baby. Let me crash here for a moment. Baby, I don't, I don't need to own you. (Yeah, yeah, yeah, yeah) (Turn me up!). Sun don't shine in the shade, ugh (Turn me up!). Bird can't fly in a cage, ugh (Turn me up!). Even when somebody go away (Turn me up!). The feelings don't really go away. Let me crash here for the moment. (Yeah, yeah, yeah, yeah). You set the night on fire. I'm still gon' be here in the morning. (Humming). Ooh baby, ooh baby, ooh yeah.",Kanye West,Hip-Hop,The Life of Pablo,2016.0,positive
A Million Ways to Die,"A Million Ways to Die. Cowboys and pioneers, come lend your eyes and ears. I've got the need to testify. Don't try to fill your nest out in the open west. 'cuz there's a million ways to die. Six bullets in the gut or just a paper cut...too many ways to quantify. They'll cut your ankle off to cure a minor cough. It's a hundred and one in the shade of the sun. If you fall asleep, you fry. You can live like a saint but there just really ain't. No avoiding a million ways to die. Smallpox and bigger pox, and deadly tomahawks...or God forbid you steal a pie. They'll blast you into shards for bein' good at cards. Out on the desert plains it hardly ever rains. And you can hear coyotes cry. They'll eat you up and then they'll crap you out again. With a whoosh and a whack there's a knife in your back. 'cuz you got a fancy tie. It's a kick in the pants but you don't have a chance. Of escaping a million ways to die.",Alan Jackson,Country,A Million Ways To Die In The West (Original Motion Picture Soundtrack),2014.0,negative
One Draw,"One Draw. I wanna get high, so high. One draw, one draw. Hey, rastaman, hey, what you say. Give mi some of yu sense. Hey, rastaman, hey, whatta say. So long I have been searching for a taste. Looking all over the place. Not a thing could I find. To satisfy my mind. So I came to search for the I. To see what the I could do. And just like I said. You send it straight to my head. (I wanna feel high) So, so high. (So high) High, high. (I wanna feel high) I wanna feel high. (So high) So, so high. (One draw) One more draw now. (One draw) One draw. Give mi some riddim mek mi dance. A long, long time mi no feel so nice. Now I'm really feeling good. And I am in a dancing mood. Won't you come and rock with me. A feeling so irie. Cause just like you said. It's gone straight to my head. Now I'm feeling high. So high. (I'm feeling high) Oh, so high. (So high) I'm feeling high. (I'm feeling high) I'm feeling high. (One draw) I like to be spliff you. (One draw) One licka with you. Hey, reggaeman, hey, whatta say. Cause just like I said. It's goin' straight to my head. And now I'm. Good morning, class. Hi, teacher. Now, as usual we will begin with rolecall. Who have we here? Smokie? (Present, teacher). Heavy? (Yeah, teacher). Mila (Hi, teacher). Good. Now, I want us to think about what we did over the holidays. Teacher!. Yes, yes. I learned about fun, teacher.",Rita Marley,Reggae,,,positive
Nine While Nine,Nine While Nine. And it's passing strange. And I'm waiting for the train. Caught up on this line again. And it's passing slowly. Killing time. But it's better than living in what will come. And I've still got some of your letters with me. And I Thought sometimes. Or I read too much. And I think you know. Let's drink to the dead lying under the water. And the cost of the blood on the driven snow. And the lipstick on my cigarettes. Frost upon the window pane. Nine while nine and I'm waiting. For the train... She said do you remember a time when angels. Do you remember a time when fear. In the days when I was stronger. In the days when you were here. She said when days had no beginning. While days had no end. When shadows grew no longer. I knew no other friend but you. Were wild. You were wild... Frost upon these cigarettes. Lipstick on the window pane. And I've lost all sense of the world outside. But I can't forget so I call your name. And I'm looking for a life for me. And I'm looking for a life for you. And I'm talking to myself again. And it's so damn cold it's just not true. And I'm walking. Through the rain. Trying to hold on. Waiting for the train. And I'm only looking. For what you want. But it's lonely here. And I think you knew. And I'm. And I'm waiting. And I wait in vain. For the train.. (repeat last verse x2).,The Sisters of Mercy,Rock,First and Last and Always,1985.0,positive
Everythang’s Corrupt,"Everythang’s Corrupt. Everythang's corrupt, everythang's fucked up. Everythang's 'bout a buck, we shit out of luck. Go to school, the teacher wanna fuck the students. Go to church, my preacher turned to prostitution. The prosecution never read my files. That evil ass judge fell asleep at my trial. This shit is wild, chickens get as sick as the cows. Birds fallin out the sky, fish dyin' in piles. Its fishy, politicians smell like my bowels. Talkin' that shit, really crampin' my styles. I got many, now I'm pinchin' pennies no doubt. I squeezed Lincoln so hard, a fuckin' booger came out. Its a shame, I used to be on top of my game. They took the shirt off my back and replaced it with chains. I met Mr. Lee Harvey, from the tea party. He used to hate Obama til' he felt hurricane Charley. Looking for his FEMA check, it's gone with the wind. When em' dicks is in, you know the fix is in. For my birthday, buy me a politician. It's a shame that you got to teach yo' children. Everythang's a scam, beat the next man. That's capitalism, they'll just build a new prison. For you slick ass niggas' that's tryin' to beat the system. Put you on the front line if you ain't re-enlisting. It's hot in hell's kitchen, get ready for the lynching. Brain-wash media, and puppet politician. Keep you out of position, out of commission. By medicine or food, that's not a decision. The 99 percent, is man tryin' to vent. Police grab my fuckin' arm, then they got bent. Now it's in a splint, I can't pay my rent. The interest on my credit card I ain't made a dent. The U.S mint, I heard they bout' to print. But it's fucked up cause' I won't see a cent. I'm sick of gettin' ignored, this world I can't afford. I'm going to the pen, free room, free board, bitch. It's ball of confusion, my niggas they losin'. I know what ya doin', they drug abusin'. My bitches be choosin', my Uzi be oozin'. The thugs be cruisin', they know what you're doin'.",Ice Cube,Hip-Hop,Everythang’s Corrupt,2013.0,negative
Flood I,"Flood I. And her hallway. Moves. Like the ocean. At the head of the river. At the source of the sea. Sitting here now in this bar for hours. Trying to write it down. Fitting in hard with harder to come. Trying to fight it. Down the river there's a ship will carry you. Down river down stream. Down the river there's a ship will carry the. Dream. Dream of the flood. As the water come rushing over. As the water come rushing in. Flood...Flood. Push the glass, stain the glass. Push the writer to the wall. It may come but it will pass. Some say we will fall. Flood. Oh, maybe, in terms of surrender. On a backcloth of lashes and eyes. In a flood of your tears, in sackcloth. And ashes and ashes and ashes and ashes. And ashes and ashes and lies. Like. While these strange men rent strange flowers. I'll be picking up your petals in another few hours. In the metal and blood, in the scent and mascara. On a backcloth of lashes and stars. And ashes and ashes and secondhand passion. And stolen guitars. (Like the sea). (Dream of the flood). And ashes and ashes. As the water come rushing in, rushing in.",The Sisters of Mercy,Rock,Floodland,,negative
Across the Universe,"Across the Universe. Words are flowing out like endless rain into a paper cup. They slither while they pass, they slip away across the universe. Pools of sorrow, waves of joy are drifting through my opened mind. Possessing and caressing me. Jai Guru Deva, Om. Nothing's gonna change my world. Images of broken light which dance before me like a million eyes. They call me on and on across the universe. Thoughts meander like a restless wind inside a letter box. They tumble blindly as they make their way across the universe. Sounds of laughter, shades of life are ringing through my open ears. Inciting and inviting me. Limitless undying love which shines around me like a million suns. It calls me on and on across the universe. Jai Guru Deva.",The Beatles,Rock,Let It Be,1969.0,positive
Neverland (Full Version),Neverland (Full Version). And when your nerves break your thought. And my word break your will. And the heart break me over this wheel. They are coming down. Wait for. Hand in hand in hand in hand. But we will. Never never never land. I had a face on the mirror. I had a hand on the gun. I had a place in the sun and a. Ticket to Syria. I had everything within my reach. I had money and stuff. Each and every call. Too much but never enough. Tear it up and watch it fall. Never never land. With our backs to the sky. And our eyes on the ground. With the clouds far below. No horizon around. With the wind in our face. And our arms open wide. We will pass through this place. To the other side. All the days of our lives. All the ways of our calling. Follow.,The Sisters of Mercy,Rock,Floodland,,negative
Happy Girl,"Happy Girl. I used to live in a darkened room. Had a face of stone. And a heart of gloom. Lost my hope, I was so far gone. Crying all my tears. With the curtains drawn. I didn't know until my soul broke free. I've got these angels watching over me. Oh watch me go. I'm a happy girl. Everybody knows. That the sweetest thing you'll ever see. In the whole wide world. Is a happy girl. I used to hide in a party crowd. Bottled up inside. Feeling so left out. Standing in a corner wearing concrete shoes. With my frozen smile. And my lighted fuse. Now every time I start to feel like that. I roll my heart out like a welcome mat. Laugh when I feel like it. Cry when I feel like it. That's just how my life is. That's how it goes. Oh, yeah.",Martina McBride,Country,Evolution,1997.0,positive
So a Child May Follow,"So a Child May Follow. Dread shine your light. So a child may follow. Many have been lost along the way. Until tonight. Turns into tomorrow. Teach them to be careful while at play. There's nothing wrong with having fun. Don't let the system tame you. It's just a part of being young. And even though they're quick to blame you. Picking on you like a plum. Because your dream became true. Now look what they've become. In open sight and plain view. They've already had a run. So meanwhile they try to change you. It's not over till it's done. So please remain the same you. x2. Hey young world (hey young world). Hey young world. The world is yours. You might not think you know enough. Don't let that deter you. It's all apart of growing up. And we're all young enough to learn to. And don't you live life in a rush. The past cannot be returned to. And when you feel like giving up. Remember patience is a virtue. When you fall try to get up. Have some guts, I'm trying to urge you. Be proud of owning up. The truth will never hurt you. 'Cause many have been lost along the way. So when you're rising start, be wise and smart. Try make your mark. Don't you hype and floss, and drive to fast. 'Cause life's too short. Try make good times last 'cause time fly past. And if time is money, that means time cost. But it don't cost money to joke and laugh. So if you love somebody hurry up and talk.",Damian Marley,Reggae,Stony Hill,2017.0,positive
