epoch,step,train_loss,validation_loss
0,41,0.6822597980499268,
0,42,,0.6742269396781921
1,83,0.6891959309577942,
1,85,,0.671087920665741
2,125,0.6776605248451233,
2,128,,0.6606083512306213
3,167,0.643585205078125,
3,171,,0.6377640962600708
4,209,0.6504341959953308,
4,214,,0.6377295255661011
5,251,0.6449967622756958,
5,257,,0.6115033626556396
6,293,0.6407248377799988,
6,300,,0.601503849029541
7,335,0.5872358083724976,
7,343,,0.5999612808227539
8,377,0.5845460295677185,
8,386,,0.584068775177002
9,419,0.5986760258674622,
9,429,,0.5803841352462769
10,461,0.5462918877601624,
10,472,,0.5732493996620178
11,503,0.5958666801452637,
11,515,,0.5582231283187866
12,545,0.5176190733909607,
12,558,,0.5579516887664795
13,587,0.5077322125434875,
13,601,,0.5477721691131592
14,629,0.5503500699996948,
14,644,,0.5403765439987183
15,671,0.5586145520210266,
15,687,,0.5396265387535095
16,713,0.5124423503875732,
16,730,,0.5341524481773376
17,755,0.5944162607192993,
17,773,,0.5323470830917358
18,797,0.5136303305625916,
18,816,,0.5303363800048828
19,839,0.49717628955841064,
19,859,,0.5269644260406494
20,881,0.5166752934455872,
20,902,,0.526713490486145
21,923,0.5260332822799683,
21,945,,0.5257337093353271
22,965,0.5203886032104492,
22,988,,0.5228415131568909
23,1007,0.45524364709854126,
23,1031,,0.5228168964385986
24,1049,0.49293413758277893,
24,1074,,0.5215244293212891
25,1091,0.4542478919029236,
25,1117,,0.5210016965866089
26,1133,0.4874899089336395,
26,1160,,0.5219278335571289
27,1175,0.4998248517513275,
27,1203,,0.5202527642250061
28,1217,0.4397992491722107,
28,1246,,0.5193707942962646
29,1259,0.4830176532268524,
29,1289,,0.5196338891983032
30,1301,0.46163421869277954,
30,1332,,0.5203701853752136
31,1343,0.43641185760498047,
31,1375,,0.5204272270202637
32,1385,0.4495895206928253,
32,1418,,0.5218034982681274
33,1427,0.41771459579467773,
33,1461,,0.5215806365013123
34,1469,0.4266495704650879,
34,1504,,0.5219622850418091
35,1511,0.42614227533340454,
35,1547,,0.5210333466529846
36,1553,0.42361459136009216,
36,1590,,0.5209709405899048
37,1595,0.4916442334651947,
37,1633,,0.5239859819412231
38,1637,0.4819175899028778,
38,1676,,0.5237549543380737
