epoch,step,train_loss,validation_loss
0,23,0.6962494254112244,
0,24,,0.6797709465026855
1,47,0.7060845494270325,
1,49,,0.6797709465026855
2,71,0.7038636803627014,
2,74,,0.6718803644180298
3,95,0.7084436416625977,
3,99,,0.6718803644180298
4,119,0.6775166392326355,
4,124,,0.664425253868103
5,143,0.6817101836204529,
5,149,,0.664425253868103
6,167,0.6869267225265503,
6,174,,0.6572776436805725
7,191,0.6714522242546082,
7,199,,0.6572776436805725
8,215,0.677537739276886,
8,224,,0.6501640677452087
9,239,0.6651374101638794,
9,249,,0.6501640677452087
10,263,0.6695966124534607,
10,274,,0.6440566182136536
11,287,0.6690958142280579,
11,299,,0.6440566182136536
12,311,0.6437123417854309,
12,324,,0.6372722387313843
13,335,0.6727342009544373,
13,349,,0.6372722387313843
14,359,0.651677131652832,
14,374,,0.6311682462692261
15,383,0.6518267393112183,
15,399,,0.6311682462692261
16,407,0.6361992359161377,
16,424,,0.6257868409156799
17,431,0.6728541254997253,
17,449,,0.6257868409156799
18,455,0.677211344242096,
18,474,,0.6228121519088745
19,479,0.6667659878730774,
19,499,,0.6228121519088745
20,503,0.6717968583106995,
20,524,,0.6190836429595947
21,527,0.6469370722770691,
21,549,,0.6190836429595947
22,551,0.6205586194992065,
22,574,,0.616366446018219
23,575,0.630702793598175,
23,599,0.4915246069431305,
23,599,,0.616366446018219
24,623,0.6378393769264221,
24,624,,0.6132612228393555
25,647,0.6471150517463684,
25,649,,0.6132612228393555
26,671,0.6034805774688721,
26,674,,0.6100387573242188
27,695,0.6635223031044006,
27,699,,0.6100387573242188
28,719,0.6130772233009338,
28,724,,0.6066718101501465
29,743,0.6256176233291626,
29,749,,0.6066718101501465
30,767,0.591873049736023,
30,774,,0.6021435856819153
31,791,0.6290314197540283,
31,799,,0.6021435856819153
32,815,0.6077778935432434,
32,824,,0.5966676473617554
33,839,0.5849394798278809,
33,849,,0.5966676473617554
34,863,0.6348114013671875,
34,874,,0.5925962924957275
35,887,0.5685780048370361,
35,899,,0.5925962924957275
36,911,0.6032842993736267,
36,924,,0.5867106914520264
37,935,0.6184099316596985,
37,949,,0.5867106914520264
38,959,0.5707270503044128,
38,974,,0.5819914937019348
39,983,0.5738024115562439,
39,999,,0.5819914937019348
40,1007,0.5735010504722595,
40,1024,,0.5762654542922974
41,1031,0.5694202780723572,
41,1049,,0.5762654542922974
42,1055,0.5626069903373718,
42,1074,,0.570111870765686
43,1079,0.5548087954521179,
43,1099,,0.570111870765686
44,1103,0.6035178899765015,
44,1124,,0.5678309798240662
45,1127,0.5809420347213745,
45,1149,,0.5678309798240662
46,1151,0.5780137181282043,
46,1174,,0.5610768795013428
47,1175,0.5363925099372864,
47,1199,0.4814298450946808,
47,1199,,0.5610768795013428
48,1223,0.5954470634460449,
48,1224,,0.5594280362129211
