epoch,step,train_loss,validation_loss
0,5,0.6474005579948425,
0,6,,0.6236805319786072
1,11,0.6180697679519653,
1,13,,0.6236805319786072
2,17,0.6330538988113403,
2,20,,0.6154042482376099
3,23,0.622610330581665,
3,27,,0.6154042482376099
4,29,0.6079571843147278,
4,34,,0.6868647336959839
5,35,0.6775914430618286,
5,41,0.4946949779987335,
5,41,,0.6868647336959839
6,47,0.6569784283638,
6,48,,0.6382873058319092
7,53,0.631224513053894,
7,55,,0.6382873058319092
8,59,0.6393716335296631,
8,62,,0.630467414855957
9,65,0.6204153895378113,
9,69,,0.630467414855957
10,71,0.6576917767524719,
10,76,,0.6276329755783081
11,77,0.6149892210960388,
11,83,0.6038311123847961,
11,83,,0.6276329755783081
12,89,0.6431320309638977,
12,90,,0.6236658096313477
