epoch,step,train_loss,validation_loss
0,23,0.6851345896720886,
0,24,,0.6782764792442322
1,47,0.6797292828559875,
1,49,,0.6782764792442322
2,71,0.6733096241950989,
2,74,,0.6657811403274536
3,95,0.6674566268920898,
3,99,,0.6657811403274536
4,119,0.6585350632667542,
4,124,,0.6554077863693237
5,143,0.6562438607215881,
5,149,,0.6554077863693237
6,167,0.6725585460662842,
6,174,,0.6435381770133972
7,191,0.6522365212440491,
7,199,,0.6435381770133972
8,215,0.6596776247024536,
8,224,,0.6340652108192444
9,239,0.6278154850006104,
9,249,,0.6340652108192444
10,263,0.6228886842727661,
10,274,,0.6261597871780396
11,287,0.6344920992851257,
11,299,,0.6261597871780396
12,311,0.6480700969696045,
12,324,,0.6206115484237671
13,335,0.5949438214302063,
13,349,,0.6206115484237671
14,359,0.5950309038162231,
14,374,,0.6145675778388977
15,383,0.5731036067008972,
15,399,,0.6145675778388977
16,407,0.6332491040229797,
16,424,,0.6082261204719543
17,431,0.6459677815437317,
17,449,,0.6082261204719543
18,455,0.5917218327522278,
18,474,,0.6004252433776855
19,479,0.6135422587394714,
19,499,,0.6004252433776855
20,503,0.5733650922775269,
20,524,,0.5930130481719971
21,527,0.6048168540000916,
21,549,,0.5930130481719971
22,551,0.5805714726448059,
22,574,,0.5822198987007141
23,575,0.5533218383789062,
23,599,0.5005363821983337,
23,599,,0.5822198987007141
24,623,0.5846457481384277,
24,624,,0.5749423503875732
25,647,0.5293272733688354,
25,649,,0.5749423503875732
26,671,0.5958817601203918,
26,674,,0.5676283240318298
27,695,0.5528367161750793,
27,699,,0.5676283240318298
28,719,0.5587033629417419,
28,724,,0.5593335032463074
29,743,0.5248897075653076,
29,749,,0.5593335032463074
30,767,0.5416232943534851,
30,774,,0.5540422797203064
31,791,0.5361457467079163,
31,799,,0.5540422797203064
32,815,0.4793481230735779,
32,824,,0.5477363467216492
33,839,0.5371843576431274,
33,849,,0.5477363467216492
34,863,0.5809396505355835,
34,874,,0.5444614291191101
35,887,0.5178850293159485,
35,899,,0.5444614291191101
36,911,0.4608220160007477,
36,924,,0.5394465923309326
37,935,0.49491873383522034,
37,949,,0.5394465923309326
38,959,0.5629107356071472,
38,974,,0.5377295613288879
39,983,0.49652084708213806,
39,999,,0.5377295613288879
40,1007,0.4889755845069885,
40,1024,,0.5356429815292358
41,1031,0.47444888949394226,
41,1049,,0.5356429815292358
42,1055,0.5218740105628967,
42,1074,,0.5339689254760742
43,1079,0.4582453966140747,
43,1099,,0.5339689254760742
44,1103,0.5134193301200867,
44,1124,,0.5344548225402832
45,1127,0.46411553025245667,
45,1149,,0.5344548225402832
46,1151,0.5411959886550903,
46,1174,,0.5349968075752258
47,1175,0.49539026618003845,
47,1199,0.5761063694953918,
47,1199,,0.5349968075752258
48,1223,0.47434669733047485,
48,1224,,0.532133162021637
49,1247,0.4806184768676758,
49,1249,,0.532133162021637
50,1271,0.472493976354599,
50,1274,,0.532291829586029
51,1295,0.4332910478115082,
51,1299,,0.532291829586029
52,1319,0.472852498292923,
52,1324,,0.5337648391723633
53,1343,0.4625537693500519,
53,1349,,0.5337648391723633
54,1367,0.49335065484046936,
54,1374,,0.5319008231163025
55,1391,0.443653404712677,
55,1399,,0.5319008231163025
56,1415,0.450848251581192,
56,1424,,0.5328637361526489
57,1439,0.48841530084609985,
57,1449,,0.5328637361526489
58,1463,0.4956091344356537,
58,1474,,0.5315886735916138
59,1487,0.4968871474266052,
59,1499,,0.5315886735916138
60,1511,0.4469633102416992,
60,1524,,0.5356441140174866
61,1535,0.45316559076309204,
61,1549,,0.5356441140174866
62,1559,0.4502825140953064,
62,1574,,0.5334945917129517
63,1583,0.3990058898925781,
63,1599,,0.5334945917129517
64,1607,0.41166403889656067,
64,1624,,0.5355836749076843
65,1631,0.408134788274765,
65,1649,,0.5355836749076843
66,1655,0.4545868933200836,
66,1674,,0.5340715646743774
67,1679,0.47007042169570923,
67,1699,,0.5340715646743774
68,1703,0.47884464263916016,
68,1724,,0.5386879444122314
